modality,column_index,column_name
mutation,706,ANKRD30A
mutation,707,ANKRD30B
mutation,708,ANKRD30BL
mutation,709,ANKRD31
mutation,710,ANKRD33
mutation,711,ANKRD33B
mutation,712,ANKRD34A
mutation,713,ANKRD34B
mutation,714,ANKRD34C
mutation,715,ANKRD35
mutation,716,ANKRD36
mutation,717,ANKRD36B
mutation,718,ANKRD36C
mutation,719,ANKRD37
mutation,720,ANKRD39
mutation,721,ANKRD40
mutation,722,ANKRD42
mutation,723,ANKRD44
mutation,724,ANKRD45
mutation,725,ANKRD46
mutation,726,ANKRD49
mutation,727,ANKRD50
mutation,728,ANKRD52
mutation,729,ANKRD53
mutation,730,ANKRD54
mutation,731,ANKRD55
mutation,732,ANKRD6
mutation,733,ANKRD60
mutation,734,ANKRD61
mutation,735,ANKRD62
mutation,736,ANKRD65
mutation,737,ANKRD7
mutation,738,ANKRD9
mutation,739,ANKS1A
mutation,740,ANKS1B
mutation,741,ANKS3
mutation,742,ANKS4B
mutation,743,ANKS6
mutation,744,ANKUB1
mutation,745,ANKZF1
mutation,746,ANLN
mutation,747,ANO1
mutation,748,ANO10
mutation,749,ANO2
mutation,750,ANO3
mutation,751,ANO4
mutation,752,ANO5
mutation,753,ANO6
mutation,754,ANO7
mutation,755,ANO8
mutation,756,ANO9
mutation,757,ANOS1
mutation,758,ANP32A
mutation,759,ANP32B
mutation,760,ANP32D
mutation,761,ANP32E
mutation,762,ANPEP
mutation,763,ANTKMT
mutation,764,ANTXR1
mutation,765,ANTXR2
mutation,766,ANTXRL
mutation,767,ANXA1
mutation,768,ANXA10
mutation,769,ANXA11
mutation,770,ANXA13
mutation,771,ANXA2
mutation,772,ANXA2R
mutation,773,ANXA3
mutation,774,ANXA4
mutation,775,ANXA5
mutation,776,ANXA6
mutation,777,ANXA7
mutation,778,ANXA8
mutation,779,ANXA8L1
mutation,780,ANXA9
mutation,781,AOAH
mutation,782,AOC1
mutation,783,AOC2
mutation,784,AOC3
mutation,785,AOPEP
mutation,786,AOX1
mutation,787,AP1AR
mutation,788,AP1B1
mutation,789,AP1G1
mutation,790,AP1G2
mutation,791,AP1M1
mutation,792,AP1M2
mutation,793,AP1S1
mutation,794,AP1S2
mutation,795,AP1S3
mutation,796,AP2A1
mutation,797,AP2A2
mutation,798,AP2B1
mutation,799,AP2M1
mutation,800,AP2S1
mutation,801,AP3B1
mutation,802,AP3B2
mutation,803,AP3D1
mutation,804,AP3M1
mutation,805,AP3M2
mutation,806,AP3S1
mutation,807,AP3S2
mutation,808,AP4B1
mutation,809,AP4E1
mutation,810,AP4M1
mutation,811,AP4S1
mutation,812,AP5B1
mutation,813,AP5M1
mutation,814,AP5S1
mutation,815,AP5Z1
mutation,816,APAF1
mutation,817,APBA1
mutation,818,APBA2
mutation,819,APBA3
mutation,820,APBB1
mutation,821,APBB1IP
mutation,822,APBB2
mutation,823,APBB3
mutation,824,APC
mutation,825,APC2
mutation,826,APCDD1
mutation,827,APCDD1L
mutation,828,APCS
mutation,829,APEH
mutation,830,APEX1
mutation,831,APEX2
mutation,832,APH1A
mutation,833,APH1B
mutation,834,API5
mutation,835,APIP
mutation,836,APLF
mutation,837,APLN
mutation,838,APLNR
mutation,839,APLP1
mutation,840,APLP2
mutation,841,APMAP
mutation,842,APOA1
mutation,843,APOA2
mutation,844,APOA4
mutation,845,APOA5
mutation,846,APOB
mutation,847,APOBEC1
mutation,848,APOBEC2
mutation,849,APOBEC3A
mutation,850,APOBEC3B
mutation,851,APOBEC3C
mutation,852,APOBEC3D
mutation,853,APOBEC3F
mutation,854,APOBEC3G
mutation,855,APOBEC3H
mutation,856,APOBEC4
mutation,857,APOBR
mutation,858,APOC1
mutation,859,APOC2
mutation,860,APOC3
mutation,861,APOC4
mutation,862,APOD
mutation,863,APOE
mutation,864,APOF
mutation,865,APOH
mutation,866,APOL1
mutation,867,APOL2
mutation,868,APOL3
mutation,869,APOL4
mutation,870,APOL5
mutation,871,APOL6
mutation,872,APOLD1
mutation,873,APOM
mutation,874,APOO
mutation,875,APOOL
mutation,876,APP
mutation,877,APPBP2
mutation,878,APPL1
mutation,879,APPL2
mutation,880,APRT
mutation,881,APTX
mutation,882,AQP1
mutation,883,AQP10
mutation,884,AQP11
mutation,885,AQP12A
mutation,886,AQP12B
mutation,887,AQP2
mutation,888,AQP3
mutation,889,AQP4
mutation,890,AQP5
mutation,891,AQP6
mutation,892,AQP7
mutation,893,AQP8
mutation,894,AQP9
mutation,895,AQR
mutation,896,AR
mutation,897,ARAF
mutation,898,ARAP1
mutation,899,ARAP2
mutation,900,ARAP3
mutation,901,ARC
mutation,902,ARCN1
mutation,903,AREG
mutation,904,AREL1
mutation,905,ARF1
mutation,906,ARF3
mutation,907,ARF4
mutation,908,ARF5
mutation,909,ARF6
mutation,910,ARFGAP1
mutation,911,ARFGAP2
mutation,912,ARFGAP3
mutation,913,ARFGEF1
mutation,914,ARFGEF2
mutation,915,ARFGEF3
mutation,916,ARFIP1
mutation,917,ARFIP2
mutation,918,ARFRP1
mutation,919,ARG1
mutation,920,ARG2
mutation,921,ARGFX
mutation,922,ARGLU1
mutation,923,ARHGAP1
mutation,924,ARHGAP10
mutation,925,ARHGAP11A
mutation,926,ARHGAP12
mutation,927,ARHGAP15
mutation,928,ARHGAP17
mutation,929,ARHGAP18
mutation,930,ARHGAP19
mutation,931,ARHGAP20
mutation,932,ARHGAP21
mutation,933,ARHGAP22
mutation,934,ARHGAP23
mutation,935,ARHGAP24
mutation,936,ARHGAP25
mutation,937,ARHGAP26
mutation,938,ARHGAP27
mutation,939,ARHGAP28
mutation,940,ARHGAP29
mutation,941,ARHGAP30
mutation,942,ARHGAP31
mutation,943,ARHGAP32
mutation,944,ARHGAP33
mutation,945,ARHGAP35
mutation,946,ARHGAP36
mutation,947,ARHGAP39
mutation,948,ARHGAP4
mutation,949,ARHGAP40
mutation,950,ARHGAP42
mutation,951,ARHGAP44
mutation,952,ARHGAP45
mutation,953,ARHGAP5
mutation,954,ARHGAP6
mutation,955,ARHGAP8
mutation,956,ARHGAP9
mutation,957,ARHGDIA
mutation,958,ARHGDIB
mutation,959,ARHGDIG
mutation,960,ARHGEF1
mutation,961,ARHGEF10
mutation,962,ARHGEF10L
mutation,963,ARHGEF11
mutation,964,ARHGEF12
mutation,965,ARHGEF15
mutation,966,ARHGEF16
mutation,967,ARHGEF17
mutation,968,ARHGEF18
mutation,969,ARHGEF19
mutation,970,ARHGEF2
mutation,971,ARHGEF25
mutation,972,ARHGEF26
mutation,973,ARHGEF28
mutation,974,ARHGEF3
mutation,975,ARHGEF33
mutation,976,ARHGEF35
mutation,977,ARHGEF37
mutation,978,ARHGEF38
mutation,979,ARHGEF39
mutation,980,ARHGEF4
mutation,981,ARHGEF40
mutation,982,ARHGEF5
mutation,983,ARHGEF6
mutation,984,ARHGEF7
mutation,985,ARHGEF9
mutation,986,ARID1A
mutation,987,ARID1B
mutation,988,ARID2
mutation,989,ARID3A
mutation,990,ARID3B
mutation,991,ARID3C
mutation,992,ARID4A
mutation,993,ARID4B
mutation,994,ARID5A
mutation,995,ARID5B
mutation,996,ARIH1
mutation,997,ARIH2
mutation,998,ARIH2OS
mutation,999,ARL1
mutation,1000,ARL10
mutation,1001,ARL11
mutation,1002,ARL13A
mutation,1003,ARL13B
mutation,1004,ARL14
mutation,1005,ARL14EP
mutation,1006,ARL15
mutation,1007,ARL16
mutation,1008,ARL17A
mutation,1009,ARL2
mutation,1010,ARL2BP
mutation,1011,ARL3
mutation,1012,ARL4A
mutation,1013,ARL4C
mutation,1014,ARL4D
mutation,1015,ARL5A
mutation,1016,ARL5B
mutation,1017,ARL5C
mutation,1018,ARL6
mutation,1019,ARL6IP1
mutation,1020,ARL6IP4
mutation,1021,ARL6IP5
mutation,1022,ARL6IP6
mutation,1023,ARL8A
mutation,1024,ARL8B
mutation,1025,ARL9
mutation,1026,ARMC1
mutation,1027,ARMC10
mutation,1028,ARMC12
mutation,1029,ARMC2
mutation,1030,ARMC3
mutation,1031,ARMC5
mutation,1032,ARMC6
mutation,1033,ARMC7
mutation,1034,ARMC8
mutation,1035,ARMC9
mutation,1036,ARMCX1
mutation,1037,ARMCX2
mutation,1038,ARMCX3
mutation,1039,ARMCX4
mutation,1040,ARMCX5
mutation,1041,ARMCX5-GPRASP2
mutation,1042,ARMCX6
mutation,1043,ARMH1
mutation,1044,ARMH3
mutation,1045,ARMH4
mutation,1046,ARMS2
mutation,1047,ARMT1
mutation,1048,ARNT
mutation,1049,ARNT2
mutation,1050,ARNTL
mutation,1051,ARNTL2
mutation,1052,ARPC1A
mutation,1053,ARPC1B
mutation,1054,ARPC2
mutation,1055,ARPC3
mutation,1056,ARPC4
mutation,1057,ARPC5
mutation,1058,ARPC5L
mutation,1059,ARPIN
mutation,1060,ARPP19
mutation,1061,ARPP21
mutation,1062,ARR3
mutation,1063,ARRB1
mutation,1064,ARRB2
mutation,1065,ARRDC1
mutation,1066,ARRDC2
mutation,1067,ARRDC3
mutation,1068,ARRDC4
mutation,1069,ARRDC5
mutation,1070,ARSA
mutation,1071,ARSB
mutation,1072,ARSD
mutation,1073,ARSF
mutation,1074,ARSG
mutation,1075,ARSH
mutation,1076,ARSI
mutation,1077,ARSJ
mutation,1078,ARSK
mutation,1079,ARSL
mutation,1080,ART1
mutation,1081,ART3
mutation,1082,ART4
mutation,1083,ART5
mutation,1084,ARTN
mutation,1085,ARV1
mutation,1086,ARVCF
mutation,1087,ARX
mutation,1088,AS3MT
mutation,1089,ASAH1
mutation,1090,ASAH2
mutation,1091,ASAH2B
mutation,1092,ASAP1
mutation,1093,ASAP2
mutation,1094,ASAP3
mutation,1095,ASB1
mutation,1096,ASB10
mutation,1097,ASB11
mutation,1098,ASB12
mutation,1099,ASB13
mutation,1100,ASB14
mutation,1101,ASB15
mutation,1102,ASB16
mutation,1103,ASB17
mutation,1104,ASB18
mutation,1105,ASB2
mutation,1106,ASB3
mutation,1107,ASB4
mutation,1108,ASB5
mutation,1109,ASB6
mutation,1110,ASB7
mutation,1111,ASB8
mutation,1112,ASB9
mutation,1113,ASCC1
mutation,1114,ASCC2
mutation,1115,ASCC3
mutation,1116,ASCL1
mutation,1117,ASCL2
mutation,1118,ASCL3
mutation,1119,ASCL4
mutation,1120,ASF1A
mutation,1121,ASF1B
mutation,1122,ASGR1
mutation,1123,ASGR2
